location,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,tests_per_case,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality,excess_mortality_cumulative_per_million
Ethiopia,0,0,0,0,0,23,23,80,1069,1069,439,499,246,1061,826,791,810,1058,1061,590,590,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,1069
Europe,1119,0,0,1,0,7,0,1119,1119,1119,1119,1119,1119,344,320,314,314,333,344,320,320,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,0,1119,1119
European Union,1119,0,0,1,0,23,0,1119,1119,1119,1119,1119,1119,346,322,316,316,339,346,322,322,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,0,1119,1119
Faeroe Islands,0,0,0,0,0,308,308,1078,1078,1078,1047,1074,1012,1052,1004,923,923,923,1052,693,693,45,0,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,0,1078,0,1045,1045
Falkland Islands,0,0,0,0,2,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1041,1041,1045,1047,981,981,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,0,1047,0,1047,1047
Fiji,0,0,0,49,49,183,184,496,1112,1112,530,636,1112,1067,1111,1017,1018,1027,1067,414,414,45,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,1112,1112
Finland,0,0,0,0,5,38,44,86,305,305,268,268,274,995,1069,959,1004,979,995,347,346,45,0,0,0,0,0,1113,0,0,0,0,1113,0,0,0,0,964,964
France,0,0,0,0,12,22,30,80,54,54,351,351,357,369,340,339,339,340,369,340,340,45,0,0,0,0,0,1118,0,0,0,0,1118,0,0,0,0,966,966
French Polynesia,0,0,0,0,1,182,182,1069,1069,1069,1069,1069,1069,1055,1067,999,999,1000,1055,341,341,1069,0,0,0,0,1069,1069,1069,0,1069,1069,1069,1069,0,1069,0,1047,1047
Gabon,0,0,0,0,0,6,6,78,1068,1068,995,1059,748,1053,1067,1006,1007,1009,1053,453,453,45,0,0,0,0,0,0,0,0,1068,1068,1068,0,0,0,0,1068,1068
Gambia,0,0,0,0,1,6,6,169,1065,1065,988,1065,758,1060,1064,1026,1025,1034,1060,458,458,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,1065
Georgia,0,0,0,0,6,39,39,77,1085,1085,642,642,597,1084,889,797,798,817,1084,507,507,45,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,1056,1056
Germany,0,0,0,0,0,42,45,78,53,1115,997,1115,997,472,337,336,336,355,472,337,337,45,0,0,0,0,0,1115,0,0,0,0,1115,0,0,0,0,962,962
Ghana,0,0,0,0,0,7,7,56,1068,1068,547,659,258,1041,1064,1012,1009,1021,1041,383,383,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,1068
Gibraltar,0,0,0,0,4,252,252,1078,1078,1078,1070,1077,1055,967,894,818,821,837,967,373,373,1078,0,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,0,1078,0,1067,1067
Greece,0,0,0,0,0,14,14,60,1085,1085,403,488,250,567,347,326,326,345,567,307,307,45,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,940,940
Greenland,0,0,0,0,1,651,652,1066,1066,1066,1066,1066,1066,1066,995,937,938,937,1066,655,655,45,0,1066,1066,1066,1066,1066,0,0,1066,1066,1066,1066,0,1066,0,1035,1035
Grenada,0,0,0,0,1,287,287,317,1060,1060,1035,1055,993,1015,1055,956,956,964,1015,422,422,973,0,0,0,0,0,1060,0,0,1060,1060,1060,0,0,0,0,1060,1060
Guam,0,0,0,829,829,829,829,829,829,829,0,0,9,829,829,829,829,829,829,829,829,829,0,0,0,0,829,829,0,0,829,829,829,829,0,829,0,829,829
Guatemala,0,0,0,26,26,28,29,97,1094,1094,354,354,371,966,766,689,689,708,966,379,379,45,0,0,0,0,0,0,0,0,1094,1094,0,0,0,0,0,944,944
Guernsey,0,0,0,695,695,695,695,695,695,695,695,695,695,690,665,580,684,683,690,1,1,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,0,695,695
Guinea,0,0,0,0,0,33,33,66,1069,1069,1055,1069,1009,1055,996,901,901,906,1055,456,444,45,0,0,0,0,0,0,0,0,1069,1069,0,0,0,0,0,1069,1069
Guinea-Bissau,0,0,0,0,0,32,32,79,1057,1057,1034,1056,961,1050,1056,1007,1007,1011,1050,563,563,1057,0,0,0,0,0,0,0,0,1057,1057,0,1057,0,0,0,1057,1057
Guyana,0,0,0,0,1,0,0,103,1070,1070,1067,1070,691,1024,1038,945,939,952,1024,411,425,45,0,0,0,0,0,1070,0,0,1070,1070,0,0,0,0,0,1070,1070
Haiti,0,0,0,0,1,18,19,91,1062,1062,1032,1060,901,1062,1045,980,980,981,1062,509,509,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1062
High income,1120,0,0,0,0,8,0,1120,1120,1120,1120,1120,1120,345,321,315,315,326,345,321,321,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,1120,1120
Honduras,0,0,0,0,1,15,17,62,1071,1071,1071,1071,1071,1031,1064,977,994,1000,1031,359,359,45,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,1071,1071
Hong Kong,0,0,0,0,2,12,12,1119,1119,1119,1088,1119,1089,464,410,405,405,408,464,399,399,45,0,0,0,0,0,1119,1119,0,1119,1119,1119,1119,0,0,0,1085,1085
Hungary,0,0,0,1,7,12,18,62,1079,300,392,392,291,880,952,916,695,695,880,373,371,45,0,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,935,935
Iceland,0,0,0,0,2,22,25,57,1005,427,241,241,1083,1027,1036,941,941,944,1027,629,629,45,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,938,938
India,0,0,0,0,4,41,43,88,1112,1112,302,317,296,726,392,373,373,402,726,352,352,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,1112
Indonesia,0,0,0,0,0,9,9,57,1080,1080,709,711,715,959,671,624,580,578,959,345,345,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,1080
International,1104,0,0,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104
Iran,0,0,0,0,0,0,0,51,1092,1092,622,787,311,961,1009,915,914,917,961,372,372,45,0,0,0,0,0,0,0,0,0,0,1092,0,0,0,0,955,955
Iraq,0,0,0,0,0,9,9,62,1087,1087,524,590,316,1055,1085,998,1007,1014,1055,415,415,45,0,0,0,0,0,0,0,0,1087,1087,0,0,0,0,0,1087,1087
Ireland,0,0,0,0,10,11,24,58,38,19,254,255,315,588,326,317,317,317,588,305,305,45,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,1048,1048
Isle of Man,0,0,0,0,0,12,12,1062,1062,1062,1062,1062,1062,997,880,796,807,805,997,544,548,1062,0,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,0,1062,0,1062,1062
